0
낚이지 마여 이런 영화에. 볼만은 하지만  
조작질좀 그만...  
아저씨들 평점 조작자제요~  
18세가왜아니냐 18세여야하는데 화끈한장면이나 찍지 ㅅㅂ  
현존하는 영화감독중에 스타일있게 자기가 표현하고 싶은것을 표현하는 감독이 3있어...스티븐 스필버그.. 조지 루카스 ...그리고 뤽베송이야 알지못하면 꺼져...  
이 정도가 적절한 수준일듯. 남녀평점 차가 너무 심한듯  
와진짜 재밋겟다!!!!  
최악일듯....  
여자 참여가 64%? sf장르 별로 안좋아하는데 여자알바들 애쓴다 증말  
우리 이거 진심으로 진지하게 평점좀 깎읍시다 알바 총출동했네 진짜.....  
새로운 느낌의 영화. 가이피어스의 활약. 기대합니당  
가이 피어스 살아있네  
뭔가 기대되는 영화네 꼭 봐야디!!!!  
이번주 개봉작중 볼만한 영화는 락아웃인거 같네요~ 우주공간의 모든 일들이 현실로  
러닝타임 오리지날로부터 많이 줄였네.안타깝네. 나중에 봐야지..  
재미있을가요?  
약간 데드 스페이스 느낌도 나고 좋다 설정이  
재밌을거같다 기대중  
참으로 주접이네....알바동원해서리 ㅋㅋ  
무조건 보고말테야  
개봉일이 계속 연기되네;;;  
보고싶다  
보고싶어!!  
재밌을듯 ㅋ  
예고편을 보니 엄청 재미있을 것 같네요. 기대되는 바입니다  
테이큰 제작팀이라니..무지 기대되네요!! 어제 테이큰봤는데..언넝보고싶어요~~  
예고편 보고 엄청 기대중입니다!! 개봉해라 얍얍!  
기대 기대~~!!  
우주감옥이라니~~우왕!! 꼭 봐야지!!!!  
기대됩니다 ^^ 테이큰을 너무 인상깊게 봐서~~ 기대기대  
이건 그냥 봐야 되는거임. 가이피어스 주연인데 액션은 본시리즈팀...닥치고봐야됨  
 어벤져스보다 스토리도 좋을거 같고 재미있어 보이네. 그리고 예고편도 졸라 웃기네  
"더포그 부터 테이큰 까지 매기그레이스 대통령딸 역할이라고 하던데, 정말 기대되요.  "
이영화뜸  
주인공도 마음에 들고 테이큰을 재미있게 봐서인지 기대됩니다!!  
재밋겟네요 ㅋ 5월 초쯤에 빨리 영화예매권 받아놔야징  
웬지 끌리기는 한데 미국 성적이 영 시원찮다  
재밌을거야재밌을거야재밌을거야  
개봉일 확정됬네 예고편보고 빵터졌는데 코미디인줄 계속 맞기만해 ㅋㅋㅋㅋㅋㅋㅋㅋ  
오락적으로 위대할 거 같은 기대감 +_+  
걍 대박 재밋겠다 ㅋㅋㅋㅋㅋ  
내가 일빠다!! 쵝오  
메멘토의 그가 요즘 자주 눈에 띄네...재미는 있어 보임...  
예고편이 맞기만하네요 아무튼 재밌어보여요 ^^  
개봉전 평점: 7.93
전체 댓글수: 44
