0
너무 노골적이심....  
ㅋㅋㅋ 제목 번역 쩌네..ㅋㅋ 맛있겠당. 착은여자는 맛없냐  
인상적인 제목덕분에10점드립니다  
식인종이슈?.. 제목 그지네..  
개봉전 평점: 5.50
전체 댓글수: 4
