0
9점 준에는 알바생이냐? 솔직해지자.  
놀랍도록 부실한 괴담!  
다운받아서 봣는데 파트1도 찾아보고싶네; 이상한데 무서워  
"낚였다 ,  공포도 없고  재미도 없고,  노출도 없고  "
아... 안본눈 삽니다...  
엉성한 전개 마지막엔 코미디  
개봉전 평점: 2.50
전체 댓글수: 6
