0
보러갈수있을지는 모르겠지만 일단 기대해보겠습니다  
돈을 트럭에 싣고 와서 봐달라고 하면 모를까...  
ㅋㅋㅋㅋㅋㅋ 그냥 기대해봅니당  
불편합니다.  
봐야할까;;  
짱!!! 입니다 .  별점 10점을 주고 싶습니다.  
기독교인은 아니지만 이런 영화 좋습니다~^^  
많은 도전을 받게 되는 영화  
개봉조차 불가능해 보이네요. 교회에서나 상영하세요.  
개봉전 평점: 7.00
전체 댓글수: 9
