0
"살아있는 전설 , 장 뤽 고다르  "
고다르 ㅠㅠ 기다리고 있습니다...  
드디어~ 3월 28일 고다르의 <필름 소셜리즘>이 개봉한다! 이건 기적이다!!  
암호와 같은 영화. 단순히 이해안되는 나 자신을 자책하기엔 이건 해도해도 너무했다.  
장뤽 고다르의 영화...  
이걸 내가 보고 한국에왔었어야하는데 ㅠㅠ 한이다.  
개봉전 평점: 8.33
전체 댓글수: 6
