0
호랑이 담배피던 시절 배우 이나 출연. 포스터만 바꾸고 옛날 비디오적 영화를 울거먹는 전형적인 낚시영화. 감독 이거 이승환 아니고 이숭환 인듯. 에로계의 낚왕. 낚시하고 평점 1점 받고 방구석에서 실실 쪼개는 이상한 양반.  
떡은 먹는게아니라 치는거다  
IPTV에서 볼수 있나요? 궁금궁금  
개봉전 평점: 3.67
전체 댓글수: 3
