0
<연애의 온도> 이후 최고의 연애격공 영화임... 현타와서 잠도 못잠  
반가운 로맨스 소식이네요!!1꼭 봐야겠어요ㅋㅋㅋㅋ  
"예고편부터 미쳤네,,,빨리보고픔 ㅠㅜ  "
꺄아아 ㅠㅠ 내가 조와하는 로맨스 영화당 ㅠㅠ  
간만에 으른의 연애다ㅋㅋ  
2월에 개봉한다니.. 기대돼요!!!!  
개봉전 평점: 9.67
전체 댓글수: 6
