0
보고싶다...ㅎ 근데 상영하는 영화가 많이 없다..ㅠㅠㅠㅠㅠㅠㅠㅠ  
생각이상으로 볼만할거 같네여^_^  
개봉하면 보고싶네요  
느낌 좋네요.  
나름 감동도 있고 ..잔잔하니 잼있네요  
일본영화 꺼지삼 ㅎㅎ  
1점만 주기를 좋아하는 사람은 싫습니다. 그래서 전 2점을 드립니다.  
개봉전 평점: 7.00
전체 댓글수: 7
