0
"좀 지루함, 대체 왜 아직도 차별해? 백인남자애가 지금 제일 차별 받는건 백인남자라고 하는 대사있던데, 그건 아닌듯..  "
은근히 반전있는 영화 잼잼  
사회적 약자성을 가지고 종횡무진하는 재기발랄한 영화  
미국 여행 중 우연히 봤는데 골 때렸음  
미국내 흥행한 인디 영화. 기대되네요  
좋은 내용인데 지루함..노잼...  
개봉전 평점: 8.33
전체 댓글수: 6
