0
샤를로뜨 갱스부르.. 내이상형  
마리옹 좀 보게 해줘라 얼라이드 영화는 개 망했지만 마리옹 미모 하난 제대로 살렸던데 ㅠㅠ 이 영화는 좀 낫길  
와 내가 좋아하는 사람 다 나와 ㅠㅠ 넘나리 기대되는것  
개봉전 평점: 10.00
전체 댓글수: 3
