0
나찌영화 쪼이는맛잇지요 기대합니다  
전쟁영화 아닌듯요 ㅎㅎ  
전쟁영화 정말 좋아하는데 기대되네요! :)  
마신 도로신스키 다른 영화에서 보고 연기력이랑 카리스마에 반해서 이 영화도 기대됨 ㅎ  
이런 스토리 짜증나고 식상하다.  
개봉전 평점: 8.00
전체 댓글수: 5
