0
1빠`1`1`1`1`1`1`1`  
뭔가 분위기 있어보인다..  
완전 기대기대!  빨리보고싶어요  
3빠 이런거 한번 해보고 싶엇어  
2빠  이다 나는 2등이다  
개봉전 평점: 7.80
전체 댓글수: 5
