0
에리카 나온다는거만으로 10점!!!  
포스터봐 지린다 ㅋㅋㅋㅋ  
에리카 나오는거보니 얃옹인것 같은데...아닙니까?  
구로사와 아키라로부터 60년. 일본 영화계는 왜 이지경이 되었나?  
포스터 초등학생이만들었나 에리카나와서 7점  
개봉전 평점: 7.60
전체 댓글수: 5
