0
여자 몸매와 얼굴이 훌륭한 작품. 노년에 계탄 영화.  
마리아 발레르드 매력이 물씬 넘치는 목욕탕씬  
마리아 발레르드 이쁩니다..  
폐쇠된 공간이라면은?  
여주가 매력적이고 예뻐요~~  
1.기대 이상이다. 영감님 입담과 마리아 누님의 조각같은 미모가 발한 영화. 나중에 다시 볼땐 스페인 요리 해먹으며 봐야지.2.세르주 갱스부르 영감 생각나네. 역시 사람이 늙으면 능력이 있어야...  
폐쇄된공간에서이뤄지는공감  
개봉전 평점: 8.00
전체 댓글수: 7
