0
포스터의 표정이 너무 못생겼어요  
이것이 진정한 느와르다  
귀기 구도류 고난이 대수랴 기꺼이 걸으리 수라의 길 아수라 [ 일 무 은 ]  
예림이 그거 사쿠라야?  
개봉전 평점: 3.25
전체 댓글수: 4
