0
드미트리.. 내한 공연때 보고 감동했던 기억이 새록새록.  
 노잼일듯 아님말고 핡핡  
"드미트리  흐보로스토프스키!!! 조수미랑 듀엣공연 했을 때도 인상 깊었는데, 역시나 3대 바리톤의  위상이란 이런 것.  "
불쇼이 재개관기념 특별공연 나도 한번봐야겠군 .. 빨리 2월27일이 되기를 ... 기원하면서 10점을 주도록 하지 ㅋㅋ  
볼쇼이 극장 재개관기념 특별공연이라니 정말 기대됩니다!  
개봉전 평점: 8.20
전체 댓글수: 5
