0
슬픈남자 화이팅~!!  
기대 많이 많이되요 ~ 검색하다가 우연하게 봤는데 예고편 재밌어요 ㅎㅎ  
예고편 잘보고 갑니다~~  
슬픈 남자  기대합니다  무조건 관람합니다  
액션 영화를 좋아하는 사람으로 영화 개봉날 기대재미있겠네요...  
개봉전 평점: 9.80
전체 댓글수: 5
