0
발랄한 성장영화 같은 느낌이네요! 매력적인 주인공과 노르웨이 영상 기대중 :)  
꺅~~~ 포스터 이뻐요~~ 영화제때 못봐서 아쉬웠는데 개봉하다니! 기대기대x100  
노르웨이 영화라니! 제목과 포스터부터 무지기대되네요.  
제목과 포스터속의 여자 완전 기대 !!  
얼마나 밝히는데요?? 3D에요?? 털 보여요??  
제목만으로도 기대가....  
포스터 속 여배우 매력있당ㅋ  
보고싶은영화! 너무밝.히.는알마라니 ㅋㅋㅋ  
개봉전 평점: 9.62
전체 댓글수: 8
