0
"여자 성우가 일본성우 못지 않은 연기력이었다. 이런 연기가 국내에서는 흔치 않을텐데 잘 소화해 낸 듯하다. 그림체는 좋으나, 역시 인원과  예산이 부족한 만큼 역동성이라고는 찾아볼 수 없는 그림인지 애니메이션인지 구분이 안갈정도의 퀄리티.  "
그림체 좋고 그냥 아무생각없이 보기 좋음  
우리나라에서 제작하긴 환경도 그렇고 많이 힘들었겠지만 작화 우려먹기도 심했고 실사로는 중요부분이 보여 심의에 걸릴 구도를 그림으로는 보여줄 수 있다는 장점을 전혀 살리지 못했다. 촬영 구도 구린 에로 영화를 그림으로 보는 것 같은 기분.  
파격적이고 화끈한 영화.  
국내 성인애니가 이정도  퀄리티면 뭐 말 다했지  
개봉전 평점: 8.20
전체 댓글수: 5
