0
이런이런~ 완존 쓰레기넹  
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  
이런거 보면서 느끼는건데 나도 영화감독 할수 있을거같아  
꾸준히 영화만드는것도신기.  쌈마이 감독  
배우들 앞길막지말라고!   감독접어라  
저예산에 힘 화이팅  
이사람또 이딴영화 만들었네.  플라스틱섹스 가관이던대.  
개봉전 평점: None
전체 댓글수: 7
