0
"감동적이긴하지만, 이것만 보아도 인간이 이렇게 이기적임을 느끼게 되네요.. ㅠ 슬픔  "
"바다에서는 돌고래, 육지에서는 개...슬프다...  "
ㅠㅠ얘기만 들었었는데 끝에 너무 슬플듯  
강아지 키우는 사람들에게는 너무 슬픈 영화  
햐 이건 않봐도 눈물 펑펑 이겠다  
아 이이야기 실화라고 들었던 기억이 독일탱크가 워낙 강해서 강아지 훈련시켜서 탱크밑으로 들어가 자폭하는 훈련을 자국탱크로 하다보니 자꾸 자국 탱크로 가려고해서 나중에 폐지한 작전이라고 좀 슬픈이야기네요 ㅜㅜ  
실화라니 더 궁금해지네요  
전쟁영화 재미있을 것 같아요  
개가 영화속 에서 큰 역할을 할것같네..ㅜㅜ  
오 군견 이야기 인가요?? 기대되네요  
전쟁영화는 실화가 진리지...ㅜㅜ  
개봉전 평점: 9.82
전체 댓글수: 11
