0
"넷플릭스에서 이틀만에 몰아 봤습니다. 본편만큼 흥미진진하고, 볼거리는 본편보다 많아서 좋네요. 시즌 2 제작이 어려움을 겪고 있다는데, 하루 빨리 해결되길 바래봅니다...  "
진짜  재밌게 봤는데 시즌 2가 안나온게 너무너무 아쉽ㅠㅠ  
주인공의 귀여운 연기가 매력적인 드라마.  
갠적으로9화부터 연출이 확달라지며 본격적으로 병맛으로 갈아탄것같은데 이게아주 취향적중! 정말 재밌게 봤습니다 이 좋은 캐릭터들을 시즌2가 엎어지면서 볼수없다니 안타깝고 제발 시즌2를 만들어주길 바래요 아마존이라던가 넷플 제발 물어라  
영화보다 더 재미있음.  
개봉전 평점: 9.40
전체 댓글수: 5
