0
오오 서부극이라니 오랜만이네  
음... 서부극인가?  
오랜만에 웨스턴인가 ?  잼껫네요  
이건 무슨 영화인가요? 궁금궁금  
개봉전 평점: 9.75
전체 댓글수: 4
