0
어서와. 이 영화는 처음이지?  
프랑스 대혁명 그속에 서의 사랑애기 너무 기대데네요ㅎㅎ  
부산에도 해달라..  
어서와 ㅋㅋㅋㅋ  
포스터 어서와 닮은듯..?  
포스터만 봐도 엄청난 규모네요. 저걸 어떻게 만들었을까... 1월부터 문화생활 완전 빠방하게 하겠네 ㅎㅎㅎ  
"카르멘, 라트라비아타, 아이다까지 다 영화관에서 관람.. 이것도 1월 개봉하면 봐야징!! 예고편 보니 기대 만발... 뭔가 문화적으로 충족되는 느낌 ㅋ  "
개봉전 평점: 9.86
전체 댓글수: 7
