0
어떤 로맨스가 펼쳐질지. 주인공의 심리가 영화속에 어떻게 묻어날지..  
인형과의 로맨스... 독특한 소재네요-  
소재 자체가 이미 어메이징~ 판타스틱한 영화!  
사쿠라키 린에 소재가므흣  
사쿠라기 린~~~ 인형연기 기대되네요-  
개봉전 평점: 8.60
전체 댓글수: 5
