0
알파치노니까 알파치노니까  
의외의 감동적인 영화 맹글혼  
앞으로 알파치노 연기를  볼 시간이 짧다는거에 안타깝네요.. 세기 최고의 배우  
스토리 소개 보면 대니 콜린스랑 비슷한 면이 있네요. 알 파치노의 연기는 언제나 기대됩니다.  
갓 파치노! 이번 영화도 왕기대함당!  
개인적으로 알파치노는 이렇게 톤다운된 연기가 더 좋다  
알 파치노와 홀리 헌터의 연기는 언제나 명품이다. 묘한 긴장감과 클라이막스의 숨죽임은 평생 잊을수 없을 듯. 맹글혼에게도 나에게도 영하는 끝났지만 새로운 시작이 기다리고 있을 것 같다  
알파치노 여인의향기같은 작품되기를  
대단히 기대 됩니다...  
개봉전 평점: 9.89
전체 댓글수: 9
