0
오오오오 잼겠네여 ㅋㅋㅋ  
어휴 낮은평점에 평균을 위하여  
평점 잘줘라 좋은 영화니까  
낮은 평점의 평균을 위해서....  
우우우룽울올로열앙앙  
이영화는 또 왜나온거야 엉엉  
개봉전 평점: 7.00
전체 댓글수: 6
