0
이 영화를 통해 평화와 통일의 의미를 되새겨 보는 기회가 되길 기대합니다.  
기사선생 아주 잔잔하면서도 흥미롭다  
마음을 울리는 긴 여운. 감동입니다  
아! 당장 만나~♬♬♬  
이번 정권이 친북이여서 이런영화가 쏟아져 나오는가  우리의 주적이 북한임에는 변함이없다  
우 리지금 미사일 만나..  
개봉전 평점: 7.00
전체 댓글수: 6
