0
주인공과 좀비 같이 춤추나요?  
언제 나오지?빨리 나왔으면 좋겠어요  
드디어 나오나요 ㅋㅋㅋ정보가 바꼇네잉  
설마 죽은 사람 앞에서 막 음악 나오면서 뮤지컬처럼 하진  않겠지? 아니면 좀비들이랑 춤추면서 노래부르거나  
개봉전 평점: 6.50
전체 댓글수: 4
