0
아니... 이것이 진정 21세기의 영화포스터인가? 이 포스터를 제작한자는 22세기에서 왔는듯 하다...  
마치 히틀러때 만들어진 영화같네요 영화에 눈이 낮은 저는 웬만한 영화는 점수가 후한데 요건 인내심의 한계에 다다르네요  
리앙송 너무착행 송아자찌 ㅠㅠㅠㅠ  
마틴 바덴때문에보는영화  
B급 영어 더빙 영화..  
파이터: 죽음의 토너먼트를 보고 4000원을 잃었지만 400만원을 잃은 느낌.. 이영화는 4000만원을 잃은 느낌을 받을수도있을것도 같다..주인공이 바로 그녀석이야!!!  
뭔가 .... 영화가 성우 더빙한건가?? 옛날영화같다냐...  
10점은 개오바인것  ㅋ  
왠지재미있을거같은영롸  
개봉전 평점: 5.44
전체 댓글수: 9
