0
이거 영화 예고편 유튜브로 보시면 CG가 꽝이라는걸 보실겁니다  
포스터 오른쪽에 픽셀깨져있어요.. 신경좀 쓰세요  
인투더스톰 김 빼기 용인가 포스터는 참 궁금하게 만드네  
같은 사이클론(태풍)을 제재로한 영화가 개봉하는데 이것이 더 OO듯  
개봉전 평점: 4.50
전체 댓글수: 4
