0
실화라는데 의의가 있는것?  
"역사적인 부분 빼고는 하나도 건질 게 없다. 원제는 ""God loves caviar""  "
f btgh hfd zdhyzd h  
개봉전 평점: 7.00
전체 댓글수: 3
