0
일단 포스터는땡긴다.  
미드 엑소시스트2 이후로 간만에 기대 되는 공포영화!!  
오랫만에 제대로 된 공포영화 하나 나오나보네요!  
완전 무서울 듯!! 얼른 보고 싶어요~ 빨리 개봉개봉!  
포스터가 엑소시트처럼 무섭네~~  
개봉전 평점: 9.00
전체 댓글수: 5
