0
이 아줌마 연기력 장난 아니던데 ㅋㅋㅋㅋ  
코바야카와 지려따리~!  
코바야카와 레이코 !! 한국에서 개봉하다니 ㅠㅠㅠ  
코바야카와 레이코 더럽!!! 좋아요  
코바야카와! 연기 꿀이네!ㅎㅎ  
개봉전 평점: 9.60
전체 댓글수: 5
