0
이런 순정만화같은 야쿠자영화라니... 새끼손가락하나 자르고 총 세방 쏘는게 액션의 다야. 아 멱살 잡는 것도 나왔지.  그래도 별점 4개의 이유는 분명하다. 왠지모를 긴장감. 반듯반듯한 대사. 야쿠자식의 합리성의 신선함. 닮고 싶은 자세.  
액션이 부족하지만 갱스터 무비의 재미를 깊이있게  살렸군  
이것이 진정한 느와르다  
대마도는 우리땅이다  알것냐  
TV로 볼때와 영화로 볼때 과연 둘다 무슨 재미이려나~  
야쿠자 영화는 인의없는 전쟁 미만 잡...군이 극장가서 볼것 까지야..  
쓰시마섬은 일본 땅입니다. 현재 실효지배도 일본이 하고있구요  
개봉전 평점: 6.86
전체 댓글수: 7
