0
와 이런 엄청난 스케일의 영화가 나온다니 기대됩니다!!! 별 1점 드세요  
제목도 구리고 포스터도 왕 구리네  
상영시간이 87분? 안봐요.  
예고편만 봐도 망작이네  
대박삘나는 포스터네 완전 기대됨! ㅎㅎㅎ  
이 영화는 눈으로 보는게 아니라 마음으로 보는것이다!!  
영화는 이렇게 몰아쳐야 제맛이지ㅋㅋㅋㅋ 봐야겟구만ㅋㅋㅋ  
비급영화는 포스터만봐도 알수있음  
여배우들 벗을거 같고 배드씬  있을거 같다  
개봉전 평점: 5.22
전체 댓글수: 9
