0
그럭저럭 재미있게 본영화입니다^^생머리 여자분 되게이쁘신데 누군지 알수가 없어서 아쉽네요 ㅎㅎ  
....aacasasas  
배우들의 연기력이 너무 아쉽다...  
차라리 일본기획av물이 더낫겠다  
여주인공 대사칠때마다 혀 낼름거리는게 아주 좋네요  
출연배우들이 연기경험도 없고 전문배우가 아닌걸 감안하면 노출을 불사하고 이정도로 연기했음 대단히 잘한거다.에로물치고 스토리도 있고 나름 그림도 예쁘다  
개봉전 평점: 5.50
전체 댓글수: 6
