0
장편 대하역사드라마가 되었어야 할 것을  
재밌게봤어요 +_+  박예진도 왔는데 이뻐~!!!!!  
지살령~이제야 선을 보이는군요!기대됩니다~^^  
5월달에 지살 개봉한다는군요.... 꼭 보러가겟슴다 ! 박예진화이팅ㅎㅎ  
징기스칸의 서역 정벌을 막은 구처기의 '일언지살' 실화소재라 기대됩니다.^^  
재밌네요  
개봉전 평점: 9.17
전체 댓글수: 6
