0
박수홍덕분에 알게된 이비자섬 박수홍엄마가 이영화 매우싫어함ㅋㅋㅋ  
박수홍이 존나 열광할 영화  
미운우리좀비...2빠라니...ㅠㅠ  
박수홍이 나왔으면....  
개봉전 평점: 10.0
전체 댓글수: 4
