0
"3편은 주인공이 바뀌어서 망했었는데, 이번은 어떨는지.  "
"우~~~와,클레멘타인 이후로 이런 역대급 영화가..ㅎㄷㄷ  "
이모탭이 부활한건가 ㅋㅋ  
개봉전 평점: 10.0
전체 댓글수: 3
