0
내용도 빈약하고 결말도 명확하지 않다.  
저 예산으로 만든영화 치곤 재미없씀~~~  
기대했는데 생각보다 별로 ㅎ  
저예산 영화..  여주가 그래도 멍청하지는 않아서 조금 덜 답답  
이거 왜 개봉취소됨? 기대했는데  
일빠~~예에 기분이 조항요 빠빠ㅏㅏㅏ  
개봉전 평점: 4.17
전체 댓글수: 6
