0
여러분 매우 볼만합니다. 개봉할 때 꼭 보세요. 너무 길어서 극장에서 못보면 보기 힘듭니다.  
러닝타임 ㄷㄷ이지만 영화제에서 보고 홀림! 개봉하면 2차 가즈아  
영화 정말 보고 싶어요!! 10월이 기다려 지네요!  
Ex Libris - The New York Public Library  
여러분 꼭 보세요 두번 보세요! 정말 감동적인 다큐에요!  
도서관의 낭만이 느껴지네요. 가을 풍경과도 어우러져서 기대가 됩니다.  
제가 너무너무 기다리고 있는 작품!  
개봉전 평점: 9.57
전체 댓글수: 7
