0
스크림 이후에 궁해있던 호러코미디 한 번 볼만은 하겠군...  
무서운 영화 비슷해서 볼만하겠는데? ㅋㅋ  
아~씨...또 팬티 챙겨야겠군.  
나는 이런건 별루야..  
난 이런게 좋아 난 이런게 좋아 넌??  
개봉전 평점: 9.80
전체 댓글수: 5
