0
저소득 계층의 탈빈곤을 위한 진정한 지원이 무엇인지 다시 한번 조명해주는 의미있는 영화다.  이타심을 상품화하는건 아닌가하는 반성을 해보는 계기를 만들어주었다.  
내 삶을 돌아보게 되는 다큐. 감동코드를 집어넣은 억지 다큐와는 다르다. 여기엔 진짜 삶의 쓴 맛과 단 맛이 공존하고 있다.  
매일 지나치면서도 보지 못했던 서울의 단면...오히려 요즘은 꾸며진 영화 보다..영화 같은 삶을 다룬 이야기들이 끌리네요.  
복지에  양면에 대한 날카로운 시선을 감동적인 사연속 눈물에 숨겨 놓았다.  
"우연찮게 보게되었는데, 다큐멘터리식이라 처음엔 생소했지만 보다보니 재미가 있음. 다보고났을때 나쁘지않은 영화  "
다큐멘터리라 지루할줄알았는데 생각보다 웃음코드도 중간에 있네요. 소외된계층의 뒷면을 보는 느낌. 현실이라 더 찡함  
"의미있는 다큐멘터리,,  "
개봉전 평점: 9.57
전체 댓글수: 7
