0
여배우님 기대하겠습니다^^  
여진구 목소리 대박인데 영화관에서 귀녹을 듯 ㅋㅋ 내용도 기대되네욤  
기대됩니다. 게다가 나레이션이 여진구라니!  
기대하고 있습니다~ 여진구 목소리로 들으면 몰입도 더 잘될거 같네요~  
기대되여~이런 영화는 많이 상영되어야해요ㅠㅠ 제발 수도권 뿐만 아니라 지역에서도 상영되길 바랍니다.  
여진구의목소리를 들으며 역사도배우고 매우좋네요^.^ 기대하겠습니다 여진구 화이팅♥  
믿고보는 여배우^^ 다큐가 기대되여  
내레이션 목소리가 기대되요ㅋ  
기대된당~! 개봉하면 보러가야징  
역사 공부도 할수 있고 아주 좋을것 같네요 감사합니다 잘보겠습니다  
재밋을까? 기대해보겟슴  
개봉전 평점: 9.18
전체 댓글수: 11
