0
아 ! 내가2등이다ㅎㅎ  
오..재밌어보인다! 기대된다!  
잼나 보인다 제목이 좀 그렇지만  
ㅋㅋ이게무슨영화지...  
개봉전 평점: 7.75
전체 댓글수: 4
