0
데드바이데이라이트 영화화 한 줄 알고 들어왔는데 낚였네 ㅋ  
아르헨티나.브라질 영화는 봤어도 폐루 영화는 처음인데..  
언프렌디드 친구삭제보다 무서웟음ㅋㅋㅋ  
엔티티의 노예 덫구는 오늘도 일합니다.  
진짜 1점은 아니다!!!  
노잼예상 1점드림..  
포스터 보니 링이 떠오른다  
개봉전 평점: 6.57
전체 댓글수: 7
