0
제목은 좋은데...왜 항상 같은 배우냐...우리나라의 문제점  
백세리 나온 영화는 알아서 걸러내기  
옛날에 찍은건가?? 에로배우들이 음지에서 슬금슬금 다 기어 나오네. 난 여배우는 에이미 남배우는 실제정사의 달인 석봉이 보고싶다. 근데 예전엔 몰랐는데 예고편 보니까 백세리는 강예원 닮은거 같고 상두는 하하 이미지가 좀 나네. 연기가 완전 스파르타야~  
백세리 진짜 대단하다~~ 에로배우계의다작여왕~ 인정!!~괞히 섭외하는건 아니겠지?  
스토리가 왠지 남다른듯 끌리네  
다른 차별화된 스토리일듯!  
하지만 내가하면 로맨스지~  
아직 못봤지만 기대해봅니다. 스토리도 괜찮아보이니 재미있게 볼게요!  
개봉전 평점: 8.25
전체 댓글수: 8
