0
"일본 것 좀 그만 보고 창작좀 해라, 감독. 감독이 맞긴 한지 모르겠다만.  "
남배우들메이크업도안시키고그냥출연시키나깨재재한게세수한번안하고출연한거같네 ㅡㅡ  
서원 참 예쁜데.. 요즘 너무 다작하는듯 하다. 그래도 재미있다  
오랜만에  새얼굴 등장이네~  
개봉전 평점: 5.50
전체 댓글수: 4
