0
빨리 보고싶어요  빠리보고 싶어요  
오 울아이가 좋아하는 미피가 개봉하네요~>__<컬쳐데이때 저렴하게나마 보러가야겠어요~  
재미 있을것 같아요~ㅎㅎ  
개봉전 평점: 9.33
전체 댓글수: 3
