0
한마디로 팩력배 구만..  
"팩트 폭력, 팩트 폭격, 팩트 뭐시기 하다가 결국 일 났네..  "
팩폭에 이은 팩트살인ㄷㄷ  
개봉전 평점: 10.0
전체 댓글수: 3
