0
평점 10점은 감독이 줬나  
이런건 뭐라고 하나요?  
이런 영화는 배급사에서 바로 짤라야된다 그냥  
여배우 좀 이쁜 애들로 쓰자 ㅡㅡ 얼굴 몸매에 안구 테러 당해서 도저히 설 기미가 안 보인다.  
최고라 말할 수 있는 작품!  
개봉전 평점: 2.80
전체 댓글수: 5
