0
정말 어이 개털리는 영화다  
존나 짭티나노 ㅋㅋㅋㅋ  
개봉한다는데 어디서 하는거지?  
뭔가 포스터도 그렇고 미션임파서블같다  
미션임파서블 짭이여?  
개봉전 평점: 4.00
전체 댓글수: 5
