0
밤 12시에 풀린다는 거 아닌가요..  
오늘 12시에 개봉을 하기로 했는데씨네폭스 및 파일조에 안떴네요...제발 개봉 풀어주세요 감독님  
오 남녀 배우 모두 새로운 얼굴이네요~ 기대합니다!  
개봉전 평점: 7.00
전체 댓글수: 3
