0
하류인생도 아름답게 보일수 있는 젊음의 위력  
실화를 바탕으로 한 독특한 영화 누군가의 애정이 그리운 주인공  갈곳없는 주인공의 빙황 의  끝은 나쁘지 않다  
종교에빠진엄마로인해잡종교집단에서칠년을보낸아이는학교에서같은반료타를만나고불량남친네살다땅에도묻히고유카네집에딸로지내다가슴을보여준후쫓겨나아난다로데뷔한다유지는야쿠자가되자마자두목이죽고만다흑뚱띠켄타는미녀다이버에게사랑의구원을받는다아이를사랑했던료타는도쿄에서대학을다닌다♡  
대박입니다 연기인지 실제인지 구분불가   인생혜안까지  
가해자라 그런건지 원숭이들은 전범기에 대한 인식이 많이 부족한듯  
펑키한거 내스탈인듯  조아  
예고편  음악 신남 ㅋㅋ ㅋㅋ  
먼가 마츠코 생각나.. 보고싶당  
개봉전 평점: 7.62
전체 댓글수: 8
