0
과연 타이타닉2를 능가할까?  
흥미로운 소재로 기대됩니다!  
마이클 파레가 출연했던 84년작의 리메이크인가?  
[SEEN] 84년작을 리메이크했는데 엉성한 구석이 많다 하지만 TV라는걸 감안하면 그럭저럭  
추가해주셔서 감사합니다 B급영화이긴 하지만 증명되진 않았지만 과거에 있던 루머를 다룬 영화라 흥미로웠습니다  
개봉전 평점: 6.60
전체 댓글수: 5
