0
줄거리부터 신선한 소재네요. 빨리 보고싶군요 개봉은 언제?  
악의 근원에 대한 이야기. 그 어느것도 방해하지 않는 악에 대한 이야기라 더욱 처절하게 느껴집니다. VOD 서비스에 올라와 있습니다.  
신선하네요. 여주가 이쁘다..  
개봉전 평점: 8.67
전체 댓글수: 3
