0
우와..피치퍼펙트  나온 커플ㅋㅋㅋ안나켄트릭  이  아니라서  아쉽지만..☞☜  둘이  피치퍼펙트  때문에캐스탕  됬나??!!  
이쁜 여자 나오는 로맨틱 코미디는 볼만한 가치가 있음  
스카이라 애스틴!!!! 개봉만 기다리구 이써염!! 8282  
썸남썸녀의 달콤 러브스토리 기대합니다^^  
어머 간만에 달달한 로맨스물 보구 싶엇는데  
너무나 기다리던 영화 보고싶어요  
남주인 스카이뭐시기가 참 잘생김  
괜찮은 로코 하나 발견~~^^  
기대해본영화였는데피치퍼펙트못따라가네요  
개봉전 평점: 9.00
전체 댓글수: 9
