0
미스터리하고 괴기하다. 영화의 포스터와 제목만 보고는 이영화를 상상조차할 수없을만큼 색다른 공포물이었다. 조현병 보다도 무서운 카드빚이야 말로 진정한 악마다  
영화가 너무 지루하고  재미없네요 보지마세요 왜 평점이 10인지 몰르겠네요 10점주지마세요 다른사람들 속아요 저처럼...  
아이고 네이버 영화 줄거리가 스포 다 해버리네... 아무 정보 없이 모르고 봤는데 정말 흥미진진하게 봤어요  
깜짝 튀어나오는 공포를 원하시면 비추 심리공포를 원하신다면 강추합니다 저는 후자인데요 주인공 배우가 연기를 너무 잘해서 2시간 넘짓한 시간이 흘러가는것도 모르고 몰입해서 봤어요 루시가 눈 뜨는것도 소름 끼쳤네요 연출력도 좋고 재밌는 영화입니다  
와....개소오름 역대급.내돈내놔.내시간내놔.  
개봉전 평점: 7.80
전체 댓글수: 5
