0
정지순씨 너무좋아요~! 화이팅!!항상 응원합니다!!  
단편영화이긴 하지만 정지순씨 주연이라니~ 막영애 배우들 여기저기 자주 보이니 좋네요  
개지순 화이팅입니다 ㅋㅋ  
평점 올리기이~~~~  
10점인걸 보고만 있을 수 없다  
개봉전 평점: 8.20
전체 댓글수: 5
