0
"몬트리올영화제 초청 축하드려요,  "
언제 영화 볼 수 있을 지 궁금해요.  
포스터가 너므 무섭네여~  
택시살인마 공포라니.. 기대된다..  
기대 됩니다 올겨울 HOT한 공포영화  
예매 했어요~!! 보러갑니다.  
20일 개봉 들었습니담!!!오오 영화보러 갑니다!!!  
19금으로 만들었으면 더 좋았을텐데 아쉽네요 15세라...  
개봉전 평점: 9.88
전체 댓글수: 8
