0
너무 쉽게 xx... 더 게스트 보다 쓰레기  
빨리돌리기로 봐도 재미없다  
시원하게 죽여서 좋긴 좋은데..  액션이 별로 재미가 없음  
그냥 다죽임 존나재미없음  
시간이 아까움 보지말것.  
스토리는단순함. 감방나와서 영화시간으로 하룻동안 펼치는복수극임.   섹스랑 살인. 그러니까 선정적인거랑 폭력성이 이 영화의  특징임.  자극적  
액션 통쾌함!! 복수극인데 볼만하네요  
이렇게 재미없는거 오랜만에봄  
생각보다 꿀잼이었음 ㅎㅎㅎ  
개봉전 평점: 3.56
전체 댓글수: 9
