0
중국에 절대고수는 한명이다. 까불지마라 - 강건마  
진짜 요즘 중국이든 대만이든 홍콩이든 대륙계열 영화들 수준이 너무 저질이야;; 주성치 이연걸 성룡  이세명이 없으면 대륙영화는 죽은거나 마찬가지..  
어우 야 저질 포스터의 압박이 벌써 ..  
난 2등이네 ㅋㅋ기대됨  
으허허어허허헝 내가1등이다 흐헤에에엫 야매때♥  
난~ 3빠 ~ ㅋㅋㅋ 견자단  이연걸 보고싶노 ~  
개봉전 평점: 5.83
전체 댓글수: 6
