0
드디어!! 베르트 모리조가 영화로 나오다니ㅠㅠㅠ 숨겨졌던 진짜  실력파 인상주의 화가 베르트 언니가 드디어 빛을 발하겠구만!! 기대할게유♥  
루즈할것같지만 그래도 기다려지는 영화♥  
"영화로 풀어낸 그림속 이야기들이 기다려진다...,,,  "
마네도 좋은데 베르트 모리OO지...더 궁금하네요  
좋은 영화 기대되네요~^^  
그닥 별로 기대안되는영회  
개봉전 평점: 8.33
전체 댓글수: 6
